   Tcen(MeV)       Tup(MeV)        Tdown(MeV)      chi2           chi4             chi6           chi8             chi10
   1.0986367e+02   1.1093117e+02   1.0881652e+02   6.7125320e-03   6.7900978e-03   7.1106537e-03   8.2695479e-03   1.8234266e-02
   1.1066560e+02   1.1174089e+02   1.0961080e+02   7.0685891e-03   7.1542027e-03   7.5087330e-03   8.7899589e-03   1.9826348e-02
   1.1146752e+02   1.1255061e+02   1.1040508e+02   7.4393865e-03   7.5337228e-03   7.9249021e-03   9.3393916e-03   2.1524881e-02
   1.1226945e+02   1.1336032e+02   1.1119936e+02   7.8254256e-03   7.9291522e-03   8.3606004e-03   9.9106965e-03   2.3395166e-02
   1.1307137e+02   1.1417004e+02   1.1199365e+02   8.2272227e-03   8.3411467e-03   8.8142601e-03   1.0544481e-02   2.5335804e-02
   1.1387330e+02   1.1497976e+02   1.1278793e+02   8.6453225e-03   8.7701783e-03   9.2890968e-03   1.1193078e-02   2.7396111e-02
   1.1467522e+02   1.1578947e+02   1.1358221e+02   9.0802889e-03   9.2168433e-03   9.7852401e-03   1.1877169e-02   2.9656794e-02
   1.1547715e+02   1.1659919e+02   1.1437649e+02   9.5327057e-03   9.6817700e-03   1.0304044e-02   1.2571062e-02   3.2214461e-02
   1.1627907e+02   1.1740891e+02   1.1517077e+02   1.0003182e-02   1.0165725e-02   1.0841182e-02   1.3402850e-02   3.4961742e-02
   1.1708099e+02   1.1821862e+02   1.1596505e+02   1.0492360e-02   1.0669147e-02   1.1403995e-02   1.4230887e-02   3.7879800e-02
   1.1788292e+02   1.1902834e+02   1.1675933e+02   1.1000904e-02   1.1192704e-02   1.1993894e-02   1.5033629e-02   4.0795684e-02
   1.1868484e+02   1.1983806e+02   1.1755361e+02   1.1529502e-02   1.1737197e-02   1.2609683e-02   1.5831444e-02   4.3932356e-02
   1.1948677e+02   1.2064777e+02   1.1834790e+02   1.2078877e-02   1.2303441e-02   1.3247596e-02   1.6751235e-02   4.7471308e-02
   1.2028869e+02   1.2145749e+02   1.1914218e+02   1.2649785e-02   1.2892132e-02   1.3909904e-02   1.7758513e-02   5.1251188e-02
   1.2109062e+02   1.2226721e+02   1.1993646e+02   1.3243013e-02   1.3504096e-02   1.4594757e-02   1.8917609e-02   5.5265778e-02
   1.2189254e+02   1.2307692e+02   1.2073074e+02   1.3859397e-02   1.4139677e-02   1.5315320e-02   1.9957639e-02   5.9456960e-02
   1.2269447e+02   1.2388664e+02   1.2152502e+02   1.4499790e-02   1.4799816e-02   1.6069937e-02   2.0897873e-02   6.3730195e-02
   1.2349639e+02   1.2469636e+02   1.2231930e+02   1.5165072e-02   1.5485934e-02   1.6841911e-02   2.2116921e-02   6.8253276e-02
   1.2429832e+02   1.2550607e+02   1.2311358e+02   1.5856203e-02   1.6198317e-02   1.7645154e-02   2.3346889e-02   7.2966237e-02
   1.2510024e+02   1.2631579e+02   1.2390786e+02   1.6574162e-02   1.6937879e-02   1.8478773e-02   2.4602332e-02   7.8169293e-02
   1.2590217e+02   1.2712551e+02   1.2470214e+02   1.7319970e-02   1.7705519e-02   1.9342140e-02   2.5898394e-02   8.3546759e-02
   1.2670409e+02   1.2793522e+02   1.2549643e+02   1.8094700e-02   1.8502087e-02   2.0235939e-02   2.7205308e-02   8.8982200e-02
   1.2750601e+02   1.2874494e+02   1.2629071e+02   1.8899469e-02   1.9328509e-02   2.1156923e-02   2.8618367e-02   9.4572519e-02
   1.2830794e+02   1.2955466e+02   1.2708499e+02   1.9735450e-02   2.0185448e-02   2.2111665e-02   2.9958439e-02   1.0035002e-01
   1.2910986e+02   1.3036437e+02   1.2787927e+02   2.0603853e-02   2.1074026e-02   2.3092109e-02   3.1387038e-02   1.0617329e-01
   1.2991179e+02   1.3117409e+02   1.2867355e+02   2.1505957e-02   2.1994889e-02   2.4102687e-02   3.2765529e-02   1.1217039e-01
   1.3071371e+02   1.3198381e+02   1.2946783e+02   2.2443082e-02   2.2949056e-02   2.5135150e-02   3.4269188e-02   1.1829787e-01
   1.3151564e+02   1.3279352e+02   1.3026211e+02   2.3416616e-02   2.3937016e-02   2.6196168e-02   3.5694895e-02   1.2427417e-01
   1.3231756e+02   1.3360324e+02   1.3105639e+02   2.4427988e-02   2.4959713e-02   2.7278085e-02   3.7146272e-02   1.2964612e-01
   1.3311949e+02   1.3441296e+02   1.3185068e+02   2.5478694e-02   2.6017663e-02   2.8382996e-02   3.8469061e-02   1.3488744e-01
   1.3392141e+02   1.3522267e+02   1.3264496e+02   2.6570286e-02   2.7111458e-02   2.9505920e-02   3.9697123e-02   1.3971850e-01
   1.3472334e+02   1.3603239e+02   1.3343924e+02   2.7704359e-02   2.8241831e-02   3.0633982e-02   4.1042058e-02   1.4380625e-01
   1.3552526e+02   1.3684211e+02   1.3423352e+02   2.8882582e-02   2.9408849e-02   3.1769133e-02   4.2346779e-02   1.4651047e-01
   1.3632719e+02   1.3765182e+02   1.3502780e+02   3.0106665e-02   3.0612541e-02   3.2914188e-02   4.3251131e-02   1.4730060e-01
   1.3712911e+02   1.3846154e+02   1.3582208e+02   3.1378359e-02   3.1853156e-02   3.4051916e-02   4.4002981e-02   1.4667648e-01
   1.3793103e+02   1.3927126e+02   1.3661636e+02   3.2699462e-02   3.3130573e-02   3.5167587e-02   4.4745669e-02   1.4366429e-01
   1.3873296e+02   1.4008097e+02   1.3741064e+02   3.4071812e-02   3.4444100e-02   3.6254456e-02   4.5383785e-02   1.3791455e-01
   1.3953488e+02   1.4089069e+02   1.3820492e+02   3.5497270e-02   3.5792797e-02   3.7302068e-02   4.5849075e-02   1.2966231e-01
   1.4033681e+02   1.4170040e+02   1.3899921e+02   3.6977720e-02   3.7174806e-02   3.8318990e-02   4.5393014e-02   1.1719576e-01
   1.4113873e+02   1.4251012e+02   1.3979349e+02   3.8515000e-02   3.8589250e-02   3.9259409e-02   4.4776931e-02   9.9303421e-02
   1.4194066e+02   1.4331984e+02   1.4058777e+02   4.0110968e-02   4.0033457e-02   4.0113051e-02   4.3743517e-02   7.5152948e-02
   1.4274258e+02   1.4412955e+02   1.4138205e+02   4.1767419e-02   4.1504235e-02   4.0868772e-02   4.1856563e-02   4.5681823e-02
   1.4354451e+02   1.4493927e+02   1.4217633e+02   4.3486057e-02   4.2998181e-02   4.1485961e-02   3.9592682e-02   1.0135664e-02
   1.4434643e+02   1.4574899e+02   1.4297061e+02   4.5268479e-02   4.4510577e-02   4.1939606e-02   3.6813824e-02  -3.5924569e-02
   1.4514836e+02   1.4655870e+02   1.4376489e+02   4.7116118e-02   4.6035574e-02   4.2204994e-02   3.3312560e-02  -9.1324437e-02
   1.4595028e+02   1.4736842e+02   1.4455917e+02   4.9030190e-02   4.7565966e-02   4.2269265e-02   2.8215986e-02  -1.5626919e-01
   1.4675221e+02   1.4817814e+02   1.4535346e+02   5.1011616e-02   4.9094100e-02   4.2075406e-02   2.2190748e-02  -2.3281694e-01
   1.4755413e+02   1.4898785e+02   1.4614774e+02   5.3060957e-02   5.0611013e-02   4.1558688e-02   1.6151598e-02  -3.2152862e-01
   1.4835605e+02   1.4979757e+02   1.4694202e+02   5.5178369e-02   5.2104497e-02   4.0732281e-02   8.1752258e-03  -4.2250917e-01
   1.4915798e+02   1.5060729e+02   1.4773630e+02   5.7363437e-02   5.3562558e-02   3.9531162e-02  -1.0733460e-03  -5.3302597e-01
   1.4995990e+02   1.5141700e+02   1.4853058e+02   5.9615131e-02   5.4970835e-02   3.7911199e-02  -1.1190029e-02  -6.4253215e-01
