#muB/T	T[MeV]	p/T^4	error	nB/T^3	error	s/T^4	error	e/T^4	error	nS/T^3	error	chiS2	error
1.0	189	1.479e+00	5.471e-02	2.252e-01	9.356e-04	9.818e+00	2.798e-01	8.564e+00	2.827e-01	-1.815e-01	3.034e-03	6.124e-01	1.764e-02
1.0	190	1.502e+00	5.644e-02	2.270e-01	1.035e-03	9.909e+00	2.769e-01	8.635e+00	2.832e-01	-1.840e-01	3.129e-03	6.187e-01	1.728e-02
1.0	191	1.524e+00	5.351e-02	2.288e-01	1.153e-03	9.999e+00	2.478e-01	8.704e+00	2.542e-01	-1.865e-01	3.776e-03	6.249e-01	1.729e-02
1.0	192	1.546e+00	4.980e-02	2.305e-01	1.165e-03	1.009e+01	2.219e-01	8.772e+00	2.264e-01	-1.890e-01	4.356e-03	6.310e-01	1.854e-02
1.0	193	1.566e+00	5.019e-02	2.323e-01	1.098e-03	1.017e+01	2.331e-01	8.838e+00	2.365e-01	-1.917e-01	4.365e-03	6.370e-01	1.979e-02
1.0	194	1.587e+00	5.401e-02	2.339e-01	1.044e-03	1.025e+01	2.693e-01	8.902e+00	2.741e-01	-1.945e-01	3.902e-03	6.429e-01	1.939e-02
1.0	195	1.606e+00	5.569e-02	2.355e-01	1.048e-03	1.033e+01	2.900e-01	8.962e+00	2.964e-01	-1.974e-01	3.360e-03	6.489e-01	1.831e-02
1.0	196	1.625e+00	5.145e-02	2.371e-01	1.066e-03	1.041e+01	2.739e-01	9.018e+00	2.799e-01	-2.003e-01	3.162e-03	6.548e-01	1.866e-02
1.0	197	1.644e+00	4.567e-02	2.387e-01	1.031e-03	1.048e+01	2.492e-01	9.071e+00	2.519e-01	-2.031e-01	3.396e-03	6.607e-01	2.031e-02
1.0	198	1.662e+00	4.504e-02	2.402e-01	9.863e-04	1.055e+01	2.539e-01	9.123e+00	2.517e-01	-2.058e-01	3.720e-03	6.666e-01	2.098e-02
1.0	199	1.681e+00	5.016e-02	2.417e-01	9.926e-04	1.061e+01	2.866e-01	9.175e+00	2.809e-01	-2.084e-01	3.918e-03	6.725e-01	1.928e-02
1.0	200	1.700e+00	5.469e-02	2.431e-01	1.038e-03	1.069e+01	3.102e-01	9.228e+00	3.026e-01	-2.108e-01	3.966e-03	6.783e-01	1.726e-02
1.0	201	1.720e+00	5.385e-02	2.446e-01	1.048e-03	1.076e+01	2.996e-01	9.284e+00	2.910e-01	-2.131e-01	3.913e-03	6.839e-01	1.780e-02
1.0	202	1.741e+00	5.067e-02	2.459e-01	9.941e-04	1.084e+01	2.764e-01	9.341e+00	2.687e-01	-2.152e-01	3.832e-03	6.891e-01	2.086e-02
1.0	203	1.762e+00	4.988e-02	2.473e-01	9.584e-04	1.092e+01	2.726e-01	9.401e+00	2.694e-01	-2.173e-01	3.791e-03	6.939e-01	2.363e-02
1.0	204	1.783e+00	5.217e-02	2.486e-01	1.005e-03	1.100e+01	2.922e-01	9.462e+00	2.955e-01	-2.193e-01	3.824e-03	6.983e-01	2.449e-02
1.0	205	1.804e+00	5.349e-02	2.499e-01	1.090e-03	1.108e+01	3.067e-01	9.525e+00	3.156e-01	-2.212e-01	3.912e-03	7.023e-01	2.354e-02
1.0	206	1.823e+00	5.029e-02	2.512e-01	1.115e-03	1.116e+01	2.924e-01	9.589e+00	3.057e-01	-2.230e-01	3.994e-03	7.060e-01	2.133e-02
1.0	207	1.842e+00	4.584e-02	2.524e-01	1.066e-03	1.124e+01	2.665e-01	9.653e+00	2.836e-01	-2.247e-01	3.990e-03	7.096e-01	1.859e-02
1.0	208	1.860e+00	4.523e-02	2.536e-01	1.021e-03	1.132e+01	2.586e-01	9.715e+00	2.776e-01	-2.264e-01	3.873e-03	7.130e-01	1.614e-02
1.0	209	1.879e+00	4.901e-02	2.548e-01	1.021e-03	1.140e+01	2.740e-01	9.776e+00	2.927e-01	-2.280e-01	3.697e-03	7.164e-01	1.462e-02
1.0	210	1.897e+00	5.232e-02	2.560e-01	1.028e-03	1.147e+01	2.863e-01	9.833e+00	3.040e-01	-2.296e-01	3.542e-03	7.199e-01	1.400e-02
1.0	211	1.915e+00	5.104e-02	2.571e-01	9.827e-04	1.154e+01	2.714e-01	9.885e+00	2.877e-01	-2.311e-01	3.485e-03	7.235e-01	1.355e-02
1.0	212	1.933e+00	4.750e-02	2.582e-01	9.340e-04	1.161e+01	2.444e-01	9.933e+00	2.585e-01	-2.326e-01	3.571e-03	7.274e-01	1.255e-02
1.0	213	1.952e+00	4.604e-02	2.593e-01	9.598e-04	1.167e+01	2.334e-01	9.975e+00	2.432e-01	-2.340e-01	3.782e-03	7.315e-01	1.145e-02
1.0	214	1.971e+00	4.833e-02	2.604e-01	1.040e-03	1.172e+01	2.458e-01	1.001e+01	2.509e-01	-2.354e-01	4.050e-03	7.357e-01	1.116e-02
1.0	215	1.989e+00	5.168e-02	2.614e-01	1.076e-03	1.177e+01	2.592e-01	1.004e+01	2.613e-01	-2.368e-01	4.288e-03	7.399e-01	1.159e-02
1.0	216	2.008e+00	5.303e-02	2.625e-01	1.024e-03	1.181e+01	2.523e-01	1.006e+01	2.533e-01	-2.381e-01	4.410e-03	7.441e-01	1.158e-02
1.0	217	2.027e+00	5.327e-02	2.635e-01	9.573e-04	1.185e+01	2.368e-01	1.008e+01	2.377e-01	-2.394e-01	4.357e-03	7.481e-01	1.059e-02
1.0	218	2.046e+00	5.391e-02	2.644e-01	9.428e-04	1.188e+01	2.332e-01	1.010e+01	2.340e-01	-2.407e-01	4.148e-03	7.520e-01	9.472e-03
1.0	219	2.064e+00	5.456e-02	2.654e-01	9.562e-04	1.192e+01	2.437e-01	1.012e+01	2.431e-01	-2.420e-01	3.843e-03	7.558e-01	9.235e-03
1.0	220	2.082e+00	5.320e-02	2.663e-01	9.212e-04	1.196e+01	2.490e-01	1.015e+01	2.453e-01	-2.432e-01	3.519e-03	7.596e-01	9.876e-03
1.0	221	2.099e+00	4.895e-02	2.673e-01	8.568e-04	1.201e+01	2.336e-01	1.018e+01	2.252e-01	-2.445e-01	3.258e-03	7.633e-01	1.047e-02
1.0	222	2.115e+00	4.584e-02	2.682e-01	8.440e-04	1.207e+01	2.132e-01	1.022e+01	2.010e-01	-2.457e-01	3.129e-03	7.669e-01	1.058e-02
1.0	223	2.131e+00	4.749e-02	2.691e-01	8.907e-04	1.213e+01	2.119e-01	1.027e+01	2.004e-01	-2.468e-01	3.154e-03	7.705e-01	1.023e-02
